User,Email,Client,Project,Task,Description,Billable,Start date,Start time,End date,End time,Duration,Tags,Amount (USD)
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-10,10:00:00,2022-09-10,11:30:00,01:30:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-10,14:00:00,2022-09-10,15:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-10,16:00:00,2022-09-10,17:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-10,19:00:00,2022-09-10,20:30:00,01:30:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-11,10:00:00,2022-09-11,12:00:00,02:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-11,14:00:00,2022-09-11,15:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-11,19:00:00,2022-09-11,20:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-11,20:00:00,2022-09-11,22:30:00,02:30:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-12,11:00:00,2022-09-12,11:50:00,00:50:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-12,12:30:00,2022-09-12,13:45:00,01:15:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-12,19:00:00,2022-09-12,20:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-12,21:00:00,2022-09-12,22:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-13,11:30:00,2022-09-13,12:50:00,01:20:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-13,14:30:00,2022-09-13,15:50:00,01:20:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-13,20:00:00,2022-09-13,21:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-13,21:00:00,2022-09-13,22:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-14,11:00:00,2022-09-14,11:50:00,00:50:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,English,No,2022-09-14,15:00:00,2022-09-14,16:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Machine Learning,No,2022-09-14,17:00:00,2022-09-14,18:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Data Science,No,2022-09-14,19:00:00,2022-09-14,20:00:00,01:00:00,,
Tmhuru24,tmhuru24@analysis.edu,,,,Algorithms,No,2022-09-14,21:30:00,2022-09-15,01:30:00,04:00:00,,
